Precinct,Registration,Ballots Cast,Under Vote,Over Vote,Candidate A,Candidate B,Candidate C,Candidate D,Candidate E,WRITE-IN,ReportingType
1,586,159,20,0,4,54,25,5,48,0,Election Day
1,586,287,18,0,19,112,21,10,99,0,VBM
2,996,291,26,1,26,124,22,11,77,1,Election Day
2,996,519,25,2,43,228,41,24,143,3,VBM
3,971,263,22,0,22,83,34,15,78,2,Election Day
3,971,518,34,1,30,222,41,21,158,0,VBM
4,991,329,31,2,35,92,21,10,128,2,Election Day
4,991,434,26,0,34,140,34,29,164,4,VBM
6,808,217,29,0,25,65,21,15,54,0,Election Day
6,808,383,38,3,33,101,42,33,114,2,VBM
7,781,222,30,0,20,61,17,12,72,0,Election Day
7,781,284,30,7,19,92,33,15,89,1,VBM
8,951,250,27,0,20,91,18,14,68,1,Election Day
8,951,494,54,1,43,178,34,19,154,1,VBM
9,809,215,27,1,21,50,29,12,62,3,Election Day
9,809,402,39,3,26,145,30,26,118,2,VBM
11,1031,246,48,3,29,51,24,16,64,0,Election Day
11,1031,471,43,4,68,165,43,15,111,1,VBM
12,765,173,22,1,15,44,17,10,53,1,Election Day
12,765,384,35,2,38,136,29,18,113,2,VBM
13,713,145,12,1,10,49,3,12,50,0,Election Day
13,713,402,25,1,36,165,18,26,122,0,VBM
14,971,297,44,4,25,82,25,20,91,2,Election Day
14,971,444,24,4,41,164,37,30,137,6,VBM
15,910,233,31,0,21,55,19,11,78,1,Election Day
15,910,513,45,1,37,150,66,34,162,1,VBM
16,913,245,26,1,22,78,29,15,63,3,Election Day
16,913,391,39,1,38,146,33,32,94,1,VBM
17,886,273,28,0,29,69,43,17,64,4,Election Day
17,886,371,28,3,31,117,41,24,115,2,VBM
18,1031,261,22,1,38,78,27,22,67,0,Election Day
18,1031,515,33,3,66,191,37,22,142,3,VBM
19,783,176,25,1,12,44,18,13,55,0,Election Day
19,783,411,30,4,48,147,27,27,119,4,VBM
21,691,192,19,0,26,69,14,8,51,1,Election Day
21,691,333,31,0,26,142,30,20,76,2,VBM
22,658,166,19,0,15,53,15,11,52,0,Election Day
22,658,316,30,3,29,119,24,14,92,0,VBM
23,954,259,28,1,35,52,27,21,79,2,Election Day
23,954,387,31,0,35,125,44,17,125,1,VBM
24,831,210,19,1,25,45,31,18,62,0,Election Day
24,831,346,23,2,41,120,36,18,98,0,VBM
25,1029,234,42,3,45,48,24,15,40,2,Election Day
25,1029,511,45,5,108,147,47,46,100,2,VBM
26,954,254,22,1,49,76,24,21,53,2,Election Day
26,954,447,24,7,67,158,37,16,125,0,VBM
27,911,273,30,0,40,82,25,16,75,2,Election Day
27,911,412,34,2,54,166,24,26,95,3,VBM
28,907,237,26,1,26,57,23,16,80,0,Election Day
28,907,449,31,0,71,167,42,23,107,2,VBM
29,951,280,35,0,47,68,31,26,67,2,Election Day
29,951,423,28,1,63,162,33,24,95,3,VBM
31,853,192,26,3,30,33,26,11,57,1,Election Day
31,853,382,35,1,69,139,39,13,79,0,VBM
32,982,226,28,3,18,62,26,8,77,0,Election Day
32,982,495,34,3,55,214,30,25,120,1,VBM
33,870,223,25,1,35,73,27,5,50,1,Election Day
33,870,438,37,3,51,159,33,16,129,3,VBM
34,793,216,25,0,16,62,21,13,76,0,Election Day
34,793,377,44,0,39,143,31,17,93,3,VBM
35,521,122,6,0,11,40,12,6,44,0,Election Day
35,521,299,19,4,31,126,23,16,72,3,VBM
36,857,206,32,3,14,54,22,11,63,1,Election Day
36,857,463,34,3,47,178,39,17,129,1,VBM
41,1047,259,16,1,29,81,30,11,86,0,Election Day
41,1047,553,44,3,41,202,42,30,172,0,VBM
42,858,232,21,3,17,65,26,12,84,2,Election Day
42,858,435,24,2,42,143,41,28,132,2,VBM
43,1056,302,20,1,21,56,30,21,149,0,Election Day
43,1056,499,33,3,42,151,45,29,177,2,VBM
44,928,266,16,0,24,65,36,12,108,3,Election Day
44,928,447,23,1,26,174,33,12,170,0,VBM
45,931,237,19,1,17,64,25,7,95,1,Election Day
45,931,516,23,5,39,164,54,24,191,2,VBM
46,1036,241,16,0,19,59,22,29,91,0,Election Day
46,1036,550,44,7,65,178,51,23,171,1,VBM
47,927,270,23,2,23,72,14,15,112,0,Election Day
47,927,464,17,6,52,145,41,29,163,0,VBM
48,992,264,36,5,12,59,29,15,104,2,Election Day
48,992,463,37,5,46,142,42,35,143,0,VBM
49,950,291,34,2,30,62,28,26,107,0,Election Day
49,950,456,25,5,43,169,42,16,144,2,VBM
52,898,236,8,1,39,68,16,7,88,0,Election Day
52,898,435,30,6,66,140,31,26,131,1,VBM
53,961,281,32,2,27,96,25,16,79,1,Election Day
53,961,468,32,1,39,159,36,27,156,0,VBM
