Precinct,Registered Voters,Total Votes,Undervotes,Overvotes,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Write-in
1,605,477,38,0,233,214,30,0,0
2,1055,836,68,1,348,409,79,0,0
3,1017,837,55,4,328,439,70,0,0
4,1098,814,88,3,403,336,75,0,0
6,833,629,76,0,219,343,67,0,0
7,805,627,54,2,232,321,74,0,0
8,957,719,86,1,262,399,58,0,0
9,874,654,76,1,248,337,69,0,0
11,1109,799,86,3,326,417,56,0,0
12,836,619,63,1,218,338,62,1,1
13,838,603,67,1,260,272,71,0,0
14,1061,818,67,1,397,353,68,0,0
15,985,723,79,2,310,331,82,0,0
16,963,697,74,3,255,385,57,0,0
17,911,650,73,3,302,296,52,0,0
18,1117,836,76,2,363,413,60,0,0
19,821,619,58,2,270,293,56,0,0
21,765,608,63,2,273,272,62,1,1
22,682,488,71,3,176,257,55,0,0
23,989,695,79,2,291,335,66,3,3
24,865,597,54,2,257,294,45,1,1
25,1194,835,99,1,352,403,79,1,1
26,1093,810,69,1,365,389,56,0,0
27,1034,772,63,3,315,396,61,0,0
28,956,708,63,1,308,340,60,0,0
29,1148,848,82,4,394,368,86,0,0
31,952,695,87,1,302,337,51,5,5
32,1119,812,88,6,337,397,78,0,0
33,969,743,78,3,280,402,61,0,0
34,843,647,64,3,291,300,55,1,1
35,577,450,34,1,169,248,33,0,0
36,925,676,91,5,247,366,63,0,0
41,1136,869,102,1,379,415,75,0,0
42,981,745,72,2,334,348,63,0,0
43,1095,827,66,6,385,359,82,1,1
44,1014,790,60,2,342,364,84,0,0
45,940,759,56,2,370,334,55,0,0
46,1160,863,65,5,416,376,70,1,1
47,949,732,72,2,363,308,61,0,0
48,1093,837,78,8,409,377,51,0,0
49,1000,781,63,5,381,345,55,0,0
52,970,713,63,1,285,361,67,0,0
53,1003,753,71,3,290,411,52,0,0
